aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi
5,1121.52,0.0,28.79,113.01,50.55,157.92,185.99,21.79,329.33
5,1842.5,0.0,38.04,47.21,38.15,138.68,207.64,27.87,314.57
5,2029.42,0.75,61.01,5.81,38.62,131.1,288.19,26.85,308.75
5,947.95,0.0,21.76,124.45,47.21,145.29,217.81,18.24,319.64
5,1081.47,0.0,24.33,103.0,42.44,117.65,141.57,16.21,291.98
5,2910.61,0.0,63.06,35.76,64.85,240.33,345.26,35.47,392.58
5,607.49,0.0,17.31,80.11,12.64,70.41,169.66,19.76,146.62
5,467.3,0.0,15.59,62.23,16.21,51.93,187.02,13.93,158.15
5,634.19,0.0,26.39,47.92,24.56,50.25,142.92,18.24,128.85
5,647.54,0.0,28.79,51.5,30.99,61.15,199.71,14.57,166.59
5,1348.5,0.03,39.76,18.24,27.18,116.77,357.78,19.51,309.5
5,1335.14,0.0,35.64,40.77,46.73,130.79,293.88,25.84,308.51
5,2723.69,7.71,70.6,1.16,47.21,174.06,401.19,30.15,363.9
5,647.54,0.0,22.96,44.35,14.42,73.84,225.06,18.75,183.43
5,694.28,0.0,21.42,65.09,24.56,57.39,166.02,14.69,144.2
5,867.84,0.0,22.62,95.84,53.41,114.5,198.67,19.0,281.22
5,781.06,0.0,21.94,107.29,47.21,67.45,79.09,12.92,123.02
4,714.3,0.0,18.85,120.16,45.78,34.69,40.57,9.5,129.31
2,540.73,0.0,19.54,28.25,32.9,16.25,20.85,4.12,41.12
4,600.82,0.0,29.13,30.76,51.98,25.77,34.27,6.97,64.8
4,907.9,0.0,32.22,32.54,39.58,38.0,61.28,11.15,62.83
4,921.25,0.0,26.39,33.26,33.85,47.78,66.18,7.92,79.35
4,720.98,0.0,20.39,77.25,34.33,39.71,52.4,11.4,77.25
5,1375.2,0.0,28.79,43.99,19.31,113.02,160.07,8.74,276.17
5,3952.03,17.66,101.45,0.23,49.11,209.98,274.25,31.16,369.29
4,727.65,0.08,26.05,13.05,38.15,28.59,32.09,1.77,47.69
4,1228.33,11.96,41.47,0.01,39.58,46.11,57.79,4.56,76.53
5,5073.55,77.78,160.4,0.0,173.57,495.56,550.57,1.65,498.23
5,1495.36,0.0,42.5,28.97,38.62,112.83,141.48,6.14,275.52
5,1295.09,0.0,28.1,27.9,36.24,84.11,95.07,4.12,179.89
5,1922.61,0.0,28.79,48.64,22.89,173.31,221.74,5.76,341.14
5,1575.47,0.0,38.39,43.99,31.47,129.68,161.35,6.4,307.66
5,934.6,0.0,26.39,48.64,27.18,57.91,79.1,8.74,96.47
5,3417.97,10.73,73.34,0.04,61.99,232.52,291.66,8.49,386.59
5,2296.45,12.07,62.38,0.03,50.07,123.73,160.49,6.97,303.1
5,2723.69,46.94,37.7,0.0,41.01,155.75,225.52,15.96,327.67
5,1949.31,17.66,42.5,0.0,19.07,99.49,197.59,9.12,229.98
5,1014.71,0.0,20.22,47.92,24.32,72.8,83.75,3.8,141.28
5,1361.85,0.0,30.85,41.13,27.66,116.38,147.12,5.76,287.64
5,2483.37,29.95,23.65,0.0,13.71,149.29,272.27,7.22,322.71
5,1161.58,0.0,27.76,26.46,19.79,88.99,120.2,4.37,196.55
5,674.25,0.0,15.25,62.94,18.6,58.98,69.6,4.5,98.28
5,794.41,0.0,21.25,39.7,17.88,63.52,90.34,6.14,109.6
